scenario_id,disruption_type,severity,remaining_stops,has_memory,delay_baseline_a_mins,delay_baseline_b_mins,delay_approach_c_mins,improvement_over_a_pct,improvement_over_b_pct,agent_response_time_s
1,vehicle_breakdown,medium,7,False,83,4.79,0,100.0,100.0,4.48
2,weather,high,6,False,170,84.56,37.28,78.07,55.91,6.51
3,accident,medium,5,False,82,14.05,0,100.0,100.0,7.57
4,vehicle_breakdown,medium,2,False,84,36.83,16.83,79.97,54.31,7.38
5,accident,low,5,False,51,0,0,100.0,0,8.23
6,order_modification,medium,3,False,96,41.95,3.03,96.84,92.78,2.79
7,vehicle_breakdown,medium,5,False,81,10.2,0,100.0,100.0,5.6
8,weather,medium,4,False,90,37.61,0,100.0,100.0,4.32
9,road_block,high,6,False,178,52.09,10.02,94.37,80.77,5.45
10,accident,low,7,False,39,0,0,100.0,0,6.14
11,order_modification,low,5,False,51,0,0,100.0,0,7.93
12,road_block,medium,6,False,94,17.14,0,100.0,100.0,6.73
13,vehicle_breakdown,low,3,False,44,18.14,0,100.0,100.0,4.7
14,order_modification,low,5,False,48,0,0,100.0,0,3.73
15,vehicle_breakdown,medium,6,False,95,18.81,0,100.0,100.0,7.64
16,order_modification,low,3,False,46,0,0,100.0,0,3.92
17,road_block,low,7,False,35,0,0,100.0,0,7.26
18,accident,medium,6,False,94,0,0,100.0,0,7.59
19,weather,low,6,False,35,0,0,100.0,0,4.24
20,order_modification,low,2,False,46,14.6,0,100.0,100.0,3.2
21,weather,medium,4,True,82,35.89,0,100.0,100.0,7.49
22,weather,low,7,True,35,0,0,100.0,0,6.57
23,weather,medium,4,True,96,27.59,0,100.0,100.0,2.56
24,vehicle_breakdown,medium,5,True,97,33.67,0,100.0,100.0,6.67
25,vehicle_breakdown,low,8,True,54,0,0,100.0,0,2.35
26,weather,high,7,True,183,67.01,0,100.0,100.0,3.17
27,vehicle_breakdown,low,8,True,52,0,0,100.0,0,5.68
28,vehicle_breakdown,medium,7,True,83,22.42,0,100.0,100.0,4.73
29,accident,high,6,True,176,76.94,0,100.0,100.0,2.25
30,vehicle_breakdown,high,7,True,179,53.76,0,100.0,100.0,3.59
31,accident,low,6,True,53,0,0,100.0,0,2.24
32,order_modification,high,8,True,175,28.98,0,100.0,100.0,5.45
33,weather,high,5,True,185,68.16,0,100.0,100.0,2.74
34,accident,medium,5,True,87,27.14,0,100.0,100.0,3.56
35,accident,medium,3,True,97,22.01,0,100.0,100.0,2.12
36,road_block,low,4,True,55,10.88,0,100.0,100.0,4.52
37,road_block,medium,4,True,95,35.66,0,100.0,100.0,6.69
38,accident,medium,6,True,91,29.96,0,100.0,100.0,4.59
39,order_modification,medium,4,True,80,37.54,0,100.0,100.0,7.9
40,road_block,medium,6,True,88,18.42,0,100.0,100.0,3.37
41,weather,medium,2,True,100,44.03,0,100.0,100.0,4.73
42,accident,low,5,True,49,0,0,100.0,0,5.59
